ID_SAMPLE,GENE,SIMILARITY_RATE,WITHIN_THRESHOLD?
1545608,BRAF,6,NO
1809617,BRAF,3,NO
2380400,BRAF,4,NO
1540436,BRAF,5,NO
1993577,BRAF,13,NO
2340114,BRAF,0,NO
890062,BRAF,2,NO
1757284,BRAF,0,NO
1154125,BRAF,1,NO
1548870,BRAF,3,NO
2839319,BRAF,3,NO
1335250,BRAF,3,NO
2349509,BRAF,0,NO
685189,BRAF,5,NO
1539812,BRAF,0,NO
2007648,BRAF,20,NO
891604,BRAF,1,NO
2603643,BRAF,1,NO
1751812,BRAF,2,NO
1812942,BRAF,0,NO
2185962,BRAF,0,NO
1229477,BRAF,0,NO
1757268,BRAF,1,NO
1348945,BRAF,3,NO
1470176,BRAF,0,NO
1757262,BRAF,3,NO
1038689,BRAF,0,NO
2543942,BRAF,3,NO
1540136,BRAF,1,NO
1809630,BRAF,4,NO
1797988,BRAF,41,NO
1431451,BRAF,1,NO
2543717,BRAF,1,NO
1335211,BRAF,3,NO
2686455,BRAF,2,NO
1097810,BRAF,0,NO
1965406,BRAF,9,NO
1812255,BRAF,2,NO
2686500,BRAF,3,NO
2349927,BRAF,0,NO
1539839,BRAF,0,NO
898296,BRAF,3,NO
1812430,BRAF,0,NO
890080,BRAF,6,NO
1812719,BRAF,7,NO
2372469,BRAF,78,NO
1335208,BRAF,11,NO
2372463,BRAF,6,NO
1941879,BRAF,5,NO
887493,BRAF,1,NO
1075308,BRAF,13,NO
1813373,BRAF,0,NO
1757082,BRAF,1,NO
1812464,BRAF,0,NO
888882,BRAF,1,NO
2894820,BRAF,1,NO
1539794,BRAF,4,NO
1723359,BRAF,1,NO
1756988,BRAF,2,NO
1797995,BRAF,3,NO
1812352,BRAF,1,NO
1686924,BRAF,1,NO
2574603,BRAF,12,NO
1757263,BRAF,0,NO
1993380,BRAF,6,NO
2801320,BRAF,0,NO
1540344,BRAF,5,NO
906095,BRAF,71,NO
2727063,BRAF,0,NO
890198,BRAF,3,NO
2760737,BRAF,0,NO
2349793,BRAF,4,NO
898271,BRAF,2,NO
1812333,BRAF,1,NO
1675376,BRAF,6,NO
2013668,BRAF,1,NO
888024,BRAF,0,NO
2587207,BRAF,1,NO
2349359,BRAF,8,NO
1757061,BRAF,1,NO
886187,BRAF,9,NO
1598227,BRAF,0,NO
1838394,BRAF,2,NO
1238005,BRAF,78,NO
2570194,BRAF,1,NO
1482442,BRAF,7,NO
1757290,BRAF,3,NO
1540570,BRAF,2,NO
1673889,BRAF,44,NO
1757135,BRAF,0,NO
1757085,BRAF,3,NO
2121568,BRAF,3,NO
1686996,BRAF,3,NO
1757199,BRAF,1,NO
1075333,BRAF,2,NO
1703619,BRAF,6,NO
1038710,BRAF,0,NO
889126,BRAF,0,NO
1757203,BRAF,5,NO
1797975,BRAF,21,NO
2542914,BRAF,18,NO
2339750,BRAF,4,NO
1790447,BRAF,1,NO
888428,BRAF,2,NO
1216995,BRAF,17,NO
1757136,BRAF,0,NO
1539846,BRAF,5,NO
1757173,BRAF,0,NO
1993434,BRAF,3,NO
2013708,BRAF,3,NO
2760752,BRAF,7,NO
1812877,BRAF,4,NO
888529,BRAF,0,NO
1812454,BRAF,4,NO
1038592,BRAF,1,NO
1335299,BRAF,0,NO
2721774,BRAF,0,NO
2263571,BRAF,2,NO
1299178,BRAF,10,NO
906081,BRAF,0,NO
1812408,BRAF,1,NO
1812873,BRAF,3,NO
1652563,BRAF,2,NO
1299171,BRAF,0,NO
1470140,BRAF,1,NO
1812355,BRAF,3,NO
2520737,BRAF,2,NO
1812839,BRAF,3,NO
1540409,BRAF,1,NO
1540212,BRAF,0,NO
1812695,BRAF,1,NO
1686995,BRAF,2,NO
1812531,BRAF,2,NO
1299198,BRAF,0,NO
1751755,BRAF,26,NO
1813384,BRAF,5,NO
2349849,BRAF,0,NO
2349393,BRAF,2,NO
2349892,BRAF,0,NO
2151502,BRAF,1,NO
1584540,BRAF,9,NO
2121507,BRAF,2,NO
2721631,BRAF,1,NO
886171,BRAF,22,NO
1151100,BRAF,6,NO
1540217,BRAF,16,NO
2349463,BRAF,2,NO
2520804,BRAF,5,NO
889040,BRAF,1,NO
1757155,BRAF,5,NO
1299203,BRAF,8,NO
1097812,BRAF,6,NO
2349683,BRAF,14,NO
1757223,BRAF,2,NO
2686505,BRAF,1,NO
1812907,BRAF,2,NO
2349763,BRAF,9,NO
1470169,BRAF,16,NO
1873906,BRAF,1,NO
1993564,BRAF,11,NO
1812936,BRAF,0,NO
1540174,BRAF,3,NO
2573627,BRAF,0,NO
2163797,BRAF,4,NO
1812523,BRAF,1,NO
1723527,BRAF,2,NO
2520817,BRAF,0,NO
2349424,BRAF,0,NO
890084,BRAF,0,NO
2349329,BRAF,7,NO
1540123,BRAF,3,NO
1757164,BRAF,2,NO
2349603,BRAF,7,NO
1723731,BRAF,1,NO
2349903,BRAF,3,NO
887505,BRAF,3,NO
1812234,BRAF,1,NO
2349817,BRAF,0,NO
1809619,BRAF,1,NO
1470292,BRAF,2,NO
2603637,BRAF,0,NO
2579012,BRAF,1,NO
685188,BRAF,2,NO
1687022,BRAF,2,NO
1675365,BRAF,1,NO
1248958,BRAF,0,NO
1723529,BRAF,0,NO
1038675,BRAF,77,NO
1022091,BRAF,6,NO
1838473,BRAF,1,NO
2686498,BRAF,9,NO
852213,BRAF,1,NO
2380416,BRAF,1,NO
888300,BRAF,2,NO
1757021,BRAF,1,NO
1038680,BRAF,1,NO
1097921,BRAF,1,NO
2349426,BRAF,2,NO
2492700,BRAF,1,NO
1539803,BRAF,8,NO
2121610,BRAF,1,NO
1819963,BRAF,2,NO
1813380,BRAF,2,NO
1812854,BRAF,3,NO
1838384,BRAF,20,NO
2719138,BRAF,0,NO
1154101,BRAF,0,NO
2439347,BRAF,1,NO
1216993,BRAF,7,NO
2839366,BRAF,2,NO
2349668,BRAF,2,NO
2520789,BRAF,5,NO
2349342,BRAF,1,NO
887652,BRAF,8,NO
2839334,BRAF,1,NO
886175,BRAF,2,NO
685202,BRAF,6,NO
2642720,BRAF,9,NO
685242,BRAF,1,NO
2894837,BRAF,4,NO
687440,BRAF,0,NO
1136672,BRAF,1,NO
2349706,BRAF,4,NO
685782,BRAF,1,NO
1335219,BRAF,1,NO
887654,BRAF,1,NO
2349737,BRAF,1,NO
1545636,BRAF,0,NO
2013597,BRAF,0,NO
1540443,BRAF,0,NO
1584533,BRAF,1,NO
888050,BRAF,11,NO
2349326,BRAF,0,NO
1248949,BRAF,32,NO
2686385,BRAF,43,NO
2521040,BRAF,1,NO
1075316,BRAF,2,NO
1812236,BRAF,6,NO
1686922,BRAF,0,NO
1295534,BRAF,1,NO
1661885,BRAF,1,NO
1723587,BRAF,2,NO
1812709,BRAF,1,NO
2349428,BRAF,22,NO
2339744,BRAF,2,NO
2163850,BRAF,2,NO
1038593,BRAF,3,NO
1154468,BRAF,0,NO
1757110,BRAF,0,NO
2380398,BRAF,3,NO
1797985,BRAF,3,NO
2653837,BRAF,1,NO
1757157,BRAF,2,NO
2837856,BRAF,2,NO
1539795,BRAF,1,NO
1237998,BRAF,14,NO
1757126,BRAF,13,NO
889031,BRAF,6,NO
1216990,BRAF,17,NO
1812720,BRAF,2,NO
1723374,BRAF,9,NO
2121756,BRAF,0,NO
1757031,BRAF,1,NO
2653829,BRAF,2,NO
2349369,BRAF,41,NO
1097976,BRAF,1,NO
2653790,BRAF,10,NO
2839315,BRAF,3,NO
2466874,BRAF,17,NO
888451,BRAF,2,NO
1545646,BRAF,1,NO
1757081,BRAF,3,NO
1150305,BRAF,0,NO
685218,BRAF,6,NO
1299205,BRAF,2,NO
1686973,BRAF,5,NO
2349767,BRAF,0,NO
1559440,BRAF,0,NO
1540323,BRAF,4,NO
1540180,BRAF,0,NO
2760723,BRAF,1,NO
1540352,BRAF,0,NO
2603661,BRAF,5,NO
2349500,BRAF,0,NO
1723777,BRAF,35,NO
2151519,BRAF,4,NO
1022106,BRAF,10,NO
2349597,BRAF,26,NO
1757124,BRAF,4,NO
1686974,BRAF,3,NO
2340505,BRAF,0,NO
1065629,BRAF,9,NO
1723559,BRAF,4,NO
1812339,BRAF,0,NO
1248951,BRAF,2,NO
1082476,BRAF,3,NO
888512,BRAF,1,NO
2543726,BRAF,4,NO
1548866,BRAF,1,NO
1675364,BRAF,1,NO
1045132,BRAF,0,NO
1025234,BRAF,0,NO
1539866,BRAF,5,NO
2759863,BRAF,6,NO
1045123,BRAF,1,NO
1812330,BRAF,13,NO
1687014,BRAF,1,NO
2587188,BRAF,25,NO
887506,BRAF,3,NO
2185961,BRAF,2,NO
1248971,BRAF,21,NO
1467743,BRAF,1,NO
1248950,BRAF,2,NO
2653805,BRAF,0,NO
1025227,BRAF,1,NO
1025240,BRAF,7,NO
1812500,BRAF,6,NO
2349461,BRAF,0,NO
1540383,BRAF,78,NO
1470152,BRAF,1,NO
1812410,BRAF,3,NO
1097990,BRAF,78,NO
1248952,BRAF,1,NO
1045127,BRAF,1,NO
1470198,BRAF,2,NO
1540072,BRAF,1,NO
1586002,BRAF,1,NO
1630186,BRAF,3,NO
2339734,BRAF,5,NO
2839347,BRAF,0,NO
1757003,BRAF,1,NO
1686956,BRAF,5,NO
1213980,BRAF,36,NO
1812717,BRAF,1,NO
1993476,BRAF,7,NO
1431440,BRAF,1,NO
1812526,BRAF,4,NO
890211,BRAF,0,NO
1299186,BRAF,1,NO
1229482,BRAF,4,NO
1038640,BRAF,0,NO
1545629,BRAF,0,NO
2574588,BRAF,1,NO
1102514,BRAF,3,NO
2869880,BRAF,4,NO
1540203,BRAF,1,NO
2349442,BRAF,38,NO
1102489,BRAF,2,NO
898314,BRAF,1,NO
889041,BRAF,0,NO
1470182,BRAF,0,NO
1467750,BRAF,0,NO
2520846,BRAF,2,NO
1540133,BRAF,2,NO
886556,BRAF,3,NO
1352400,BRAF,1,NO
1103493,BRAF,0,NO
1545630,BRAF,1,NO
1686960,BRAF,1,NO
2349350,BRAF,2,NO
2439392,BRAF,12,NO
2869808,BRAF,11,NO
2349893,BRAF,1,NO
1038621,BRAF,3,NO
2349506,BRAF,4,NO
1540321,BRAF,1,NO
1820011,BRAF,2,NO
2349465,BRAF,3,NO
753545,BRAF,0,NO
889238,BRAF,1,NO
1675405,BRAF,15,NO
2121719,BRAF,4,NO
2822909,BRAF,33,NO
1479497,BRAF,1,NO
2349619,BRAF,0,NO
2372470,BRAF,1,NO
1545647,BRAF,1,NO
886643,BRAF,16,NO
1686955,BRAF,1,NO
1539962,BRAF,2,NO
1993439,BRAF,0,NO
1038649,BRAF,5,NO
1103443,BRAF,12,NO
2520767,BRAF,1,NO
1097919,BRAF,0,NO
1151104,BRAF,5,NO
1102518,BRAF,5,NO
2349431,BRAF,9,NO
1540083,BRAF,0,NO
1335261,BRAF,0,NO
1757271,BRAF,0,NO
1065612,BRAF,1,NO
1819995,BRAF,7,NO
1812415,BRAF,3,NO
686442,BRAF,2,NO
2471426,BRAF,4,NO
2349752,BRAF,2,NO
1223363,BRAF,14,NO
1790441,BRAF,2,NO
1540084,BRAF,1,NO
1545615,BRAF,2,NO
892487,BRAF,0,NO
1820022,BRAF,1,NO
890045,BRAF,1,NO
1812332,BRAF,0,NO
684538,BRAF,2,NO
2574517,BRAF,3,NO
1757128,BRAF,1,NO
1586023,BRAF,7,NO
2642725,BRAF,1,NO
2443569,BRAF,2,NO
1757159,BRAF,2,NO
1467762,BRAF,0,NO
2574504,BRAF,1,NO
2007657,BRAF,0,NO
1812463,BRAF,2,NO
1676367,BRAF,3,NO
1075332,BRAF,29,NO
2579069,BRAF,0,NO
2349705,BRAF,1,NO
1103448,BRAF,1,NO
2349354,BRAF,8,NO
1470130,BRAF,9,NO
1757172,BRAF,5,NO
2151527,BRAF,0,NO
2349568,BRAF,1,NO
1515740,BRAF,3,NO
1723492,BRAF,3,NO
888843,BRAF,34,NO
2121739,BRAF,19,NO
1539805,BRAF,78,NO
1675398,BRAF,1,NO
1097911,BRAF,13,NO
687433,BRAF,0,NO
889018,BRAF,1,NO
1873905,BRAF,0,NO
1540199,BRAF,2,NO
1470205,BRAF,76,NO
2686509,BRAF,3,NO
2520842,BRAF,5,NO
1852091,BRAF,13,NO
2349759,BRAF,3,NO
1812906,BRAF,0,NO
2839340,BRAF,19,NO
1798048,BRAF,0,NO
1965404,BRAF,4,NO
685277,BRAF,0,NO
1867682,BRAF,0,NO
1675367,BRAF,1,NO
852212,BRAF,2,NO
2573617,BRAF,2,NO
1757214,BRAF,20,NO
1097915,BRAF,2,NO
1812562,BRAF,0,NO
1757028,BRAF,2,NO
2839445,BRAF,8,NO
1098005,BRAF,55,NO
1993352,BRAF,2,NO
1598310,BRAF,14,NO
898209,BRAF,4,NO
2801328,BRAF,8,NO
1540107,BRAF,3,NO
683698,BRAF,4,NO
1965409,BRAF,1,NO
2587193,BRAF,1,NO
2007653,BRAF,5,NO
887497,BRAF,19,NO
2839343,BRAF,4,NO
906096,BRAF,29,NO
1038700,BRAF,1,NO
1867730,BRAF,0,NO
2894843,BRAF,2,NO
1757030,BRAF,0,NO
2686452,BRAF,4,NO
2760718,BRAF,1,NO
2686348,BRAF,2,NO
2349594,BRAF,0,NO
2349684,BRAF,1,NO
1065584,BRAF,1,NO
2349885,BRAF,2,NO
683694,BRAF,5,NO
888036,BRAF,0,NO
1545612,BRAF,1,NO
2760746,BRAF,4,NO
1993664,BRAF,1,NO
1038612,BRAF,3,NO
1540166,BRAF,1,NO
1757217,BRAF,1,NO
889006,BRAF,1,NO
887664,BRAF,2,NO
2349373,BRAF,16,NO
2574533,BRAF,2,NO
888431,BRAF,8,NO
1540390,BRAF,0,NO
2349517,BRAF,0,NO
2349716,BRAF,21,NO
2894852,BRAF,6,NO
1150296,BRAF,6,NO
2353020,BRAF,0,NO
2653830,BRAF,2,NO
1757072,BRAF,6,NO
1026952,BRAF,3,NO
1812711,BRAF,0,NO
888522,BRAF,2,NO
1812435,BRAF,2,NO
888054,BRAF,2,NO
2012875,BRAF,1,NO
890200,BRAF,1,NO
2062386,BRAF,7,NO
1025241,BRAF,19,NO
886690,BRAF,3,NO
1102500,BRAF,7,NO
1790439,BRAF,9,NO
971874,BRAF,3,NO
1026943,BRAF,3,NO
2349829,BRAF,2,NO
1757274,BRAF,2,NO
1216992,BRAF,1,NO
1292520,BRAF,2,NO
2686514,BRAF,3,NO
683838,BRAF,2,NO
2349913,BRAF,3,NO
2574611,BRAF,31,NO
2839444,BRAF,1,NO
1103508,BRAF,3,NO
1812246,BRAF,0,NO
1757143,BRAF,1,NO
2443583,BRAF,4,NO
2869747,BRAF,3,NO
889020,BRAF,4,NO
1586000,BRAF,2,NO
2013640,BRAF,2,NO
1812427,BRAF,5,NO
2443567,BRAF,1,NO
888883,BRAF,5,NO
684542,BRAF,5,NO
1470183,BRAF,3,NO
1065582,BRAF,0,NO
1548862,BRAF,1,NO
2801308,BRAF,2,NO
2520728,BRAF,5,NO
685243,BRAF,3,NO
2720098,BRAF,1,NO
684529,BRAF,4,NO
2349409,BRAF,3,NO
971895,BRAF,0,NO
2587182,BRAF,1,NO
2759865,BRAF,0,NO
1103442,BRAF,13,NO
2121557,BRAF,1,NO
1757049,BRAF,9,NO
890075,BRAF,9,NO
686436,BRAF,2,NO
1229488,BRAF,78,NO
1873892,BRAF,1,NO
2843090,BRAF,1,NO
1470203,BRAF,3,NO
1539798,BRAF,11,NO
1540128,BRAF,1,NO
2822898,BRAF,11,NO
2012866,BRAF,1,NO
1812442,BRAF,4,NO
1812900,BRAF,2,NO
1723439,BRAF,2,NO
1812698,BRAF,5,NO
2520760,BRAF,3,NO
2349681,BRAF,3,NO
886420,BRAF,5,NO
2013663,BRAF,13,NO
1812901,BRAF,3,NO
2349822,BRAF,1,NO
1540359,BRAF,1,NO
890111,BRAF,0,NO
1586027,BRAF,3,NO
2801298,BRAF,2,NO
684502,BRAF,2,NO
892476,BRAF,0,NO
686438,BRAF,33,NO
1790466,BRAF,1,NO
2474088,BRAF,1,NO
1237989,BRAF,0,NO
1686909,BRAF,18,NO
1248954,BRAF,2,NO
1686989,BRAF,7,NO
1757121,BRAF,0,NO
890070,BRAF,23,NO
2615083,BRAF,0,NO
1217269,BRAF,3,NO
2869841,BRAF,2,NO
2380414,BRAF,10,NO
1045157,BRAF,1,NO
683684,BRAF,0,NO
1941868,BRAF,2,NO
1630168,BRAF,2,NO
1812699,BRAF,1,NO
1756979,BRAF,2,NO
1539816,BRAF,1,NO
971906,BRAF,3,NO
1586012,BRAF,6,NO
1598318,BRAF,0,NO
1812511,BRAF,1,NO
2521031,BRAF,1,NO
1797973,BRAF,2,NO
2151530,BRAF,0,NO
2349775,BRAF,1,NO
1757278,BRAF,3,NO
906100,BRAF,1,NO
1757291,BRAF,2,NO
1065566,BRAF,2,NO
2121787,BRAF,1,NO
2722863,BRAF,17,NO
